viewport,check,status,severity,repro,evidence_source
768x1024,pointer_accuracy,FAIL,BLOCKER,"Set viewport to 768x1024, open DataInput from launcher, close it, then draw five strokes (four corners + center); per-viewport pointer accuracy result is not recorded in current signoff evidence.","task_236 recorded generic tablet/desktop pointer validation but no per-viewport run log"
768x1024,panel_drag_reopen,FAIL,BLOCKER,"Set viewport to 768x1024, open DataInput, drag panel across bounds, close and reopen from launcher; per-viewport drag/reopen result is not recorded in current signoff evidence.","task_242 confirms runtime drag/open behavior contractually but not per required viewport"
768x1024,launcher_reachability,PASS,N/A,N/A,"task_238 reachability checks: close/recover PASS at 768x1024"
768x1024,student_visibility,FAIL,BLOCKER,"Set viewport to 768x1024, switch to student role, verify edit modules remain hidden and student-safe modules remain reachable; per-viewport result is not recorded in current signoff evidence.","task_241/task_244 confirm policy behavior without per-viewport runtime log"
820x1180,pointer_accuracy,FAIL,BLOCKER,"Set viewport to 820x1180, open DataInput from launcher, close it, then draw five strokes (four corners + center); per-viewport pointer accuracy result is not recorded in current signoff evidence.","task_236 recorded generic tablet/desktop pointer validation but no per-viewport run log"
820x1180,panel_drag_reopen,FAIL,BLOCKER,"Set viewport to 820x1180, open DataInput, drag panel across bounds, close and reopen from launcher; per-viewport drag/reopen result is not recorded in current signoff evidence.","task_242 confirms runtime drag/open behavior contractually but not per required viewport"
820x1180,launcher_reachability,PASS,N/A,N/A,"task_238 reachability checks: close/recover PASS at 820x1180"
820x1180,student_visibility,FAIL,BLOCKER,"Set viewport to 820x1180, switch to student role, verify edit modules remain hidden and student-safe modules remain reachable; per-viewport result is not recorded in current signoff evidence.","task_241/task_244 confirm policy behavior without per-viewport runtime log"
1024x768,pointer_accuracy,FAIL,BLOCKER,"Set viewport to 1024x768, open DataInput from launcher, close it, then draw five strokes (four corners + center); per-viewport pointer accuracy result is not recorded in current signoff evidence.","task_236 recorded generic tablet/desktop pointer validation but no per-viewport run log"
1024x768,panel_drag_reopen,FAIL,BLOCKER,"Set viewport to 1024x768, open DataInput, drag panel across bounds, close and reopen from launcher; per-viewport drag/reopen result is not recorded in current signoff evidence.","task_242 confirms runtime drag/open behavior contractually but not per required viewport"
1024x768,launcher_reachability,PASS,N/A,N/A,"task_238 reachability checks: close/recover PASS at 1024x768"
1024x768,student_visibility,FAIL,BLOCKER,"Set viewport to 1024x768, switch to student role, verify edit modules remain hidden and student-safe modules remain reachable; per-viewport result is not recorded in current signoff evidence.","task_241/task_244 confirm policy behavior without per-viewport runtime log"
1180x820,pointer_accuracy,FAIL,BLOCKER,"Set viewport to 1180x820, open DataInput from launcher, close it, then draw five strokes (four corners + center); per-viewport pointer accuracy result is not recorded in current signoff evidence.","task_236 recorded generic tablet/desktop pointer validation but no per-viewport run log"
1180x820,panel_drag_reopen,FAIL,BLOCKER,"Set viewport to 1180x820, open DataInput, drag panel across bounds, close and reopen from launcher; per-viewport drag/reopen result is not recorded in current signoff evidence.","task_242 confirms runtime drag/open behavior contractually but not per required viewport"
1180x820,launcher_reachability,PASS,N/A,N/A,"task_238 reachability checks: close/recover PASS at 1180x820"
1180x820,student_visibility,FAIL,BLOCKER,"Set viewport to 1180x820, switch to student role, verify edit modules remain hidden and student-safe modules remain reachable; per-viewport result is not recorded in current signoff evidence.","task_241/task_244 confirm policy behavior without per-viewport runtime log"
global,repo_end_stage_verification,PASS,N/A,"Run VERIFY_STAGE=end bash scripts/run_repo_verifications.sh.","PASS on 2026-02-16 after registerCoreSlots launcher null-guard fix"
